instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.2,anomaly_0.2
83,0,0.0,5940,0.7541899441340782,7876,,0.012530520411943413,1
84,4,0.0005342593829304127,5634,0.7525043408574863,7487,2.0,-0.04358103433015925,-1
85,11,0.0014254243877154335,5801,0.7517169884670208,7717,3.0,-0.06471080219334013,-1
86,7,0.000974794596852806,5397,0.7515666341735134,7181,1.0,-0.06832558354138851,-1
87,8,0.00102262559120542,5858,0.7488175891601687,7823,3.0,-0.13912789870563302,-1
88,28,0.003495194108101361,5978,0.7462239420796405,8011,1.0,-0.13912789870563302,-1
89,7,0.0008874239350912779,5937,0.7526622718052738,7888,4.0,-0.04358103433015925,-1
90,10,0.0012787723785166241,5880,0.7519181585677749,7820,3.0,-0.05809067481070207,-1
91,5,0.0006399590426212722,5885,0.7532317931652375,7813,1.0,0.009545957957695361,1
92,0,0.0,5960,0.7542394330549228,7902,,0.012530520411943413,1
93,0,0.0,5880,0.754232939969215,7796,,0.012530520411943413,1
94,0,0.0,5920,0.7545245985215396,7846,,0.012530520411943413,1
95,0,0.0,5940,0.7543815087630176,7874,,0.012530520411943413,1
96,0,0.0,5120,0.7511737089201878,6816,,-0.07610932812438453,-1
97,0,0.0,5860,0.7541827541827542,7770,,0.012530520411943413,1
98,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
99,0,0.0,5910,0.7545001914975106,7833,,0.012530520411943413,1
100,0,0.0,5910,0.7542113323124043,7836,,0.012530520411943413,1
101,0,0.0,5940,0.7525655644241733,7893,,-0.04358103433015925,-1
102,0,0.0,5910,0.7512393542646498,7867,,-0.07507013823319131,-1
103,0,0.0,5910,0.7541150950618859,7837,,0.012530520411943413,1
104,0,0.0,5920,0.7543323139653415,7848,,0.012530520411943413,1
105,0,0.0,5870,0.7542078889888217,7783,,0.012530520411943413,1
106,0,0.0,5900,0.7542827921247762,7822,,0.012530520411943413,1
107,0,0.0,5920,0.7541401273885351,7850,,0.012530520411943413,1
108,0,0.0,5910,0.7543075941289088,7835,,0.012530520411943413,1
109,0,0.0,5930,0.7545489247995928,7859,,0.012530520411943413,1
110,0,0.0,5910,0.7542113323124043,7836,,0.012530520411943413,1
111,0,0.0,5920,0.7544284439913342,7847,,0.012530520411943413,1
112,0,0.0,5820,0.7540813682301114,7718,,0.012530520411943413,1
113,0,0.0,5640,0.7538091419406576,7482,,0.012530520411943413,1
114,0,0.0,5690,0.7537422175122532,7549,,0.017959219170874563,1
115,0,0.0,5550,0.7535641547861507,7365,,0.03272577967295659,1
116,0,0.0,5790,0.7508753728439891,7711,,-0.08880622810327377,-1
117,0,0.0,5640,0.7536076964190273,7484,,0.03158699745277099,1
118,0,0.0,5920,0.7543323139653415,7848,,0.012530520411943413,1
119,0,0.0,5850,0.7541575351295604,7757,,0.012530520411943413,1
120,0,0.0,5930,0.7543569520417249,7861,,0.012530520411943413,1
121,0,0.0,5930,0.7543569520417249,7861,,0.012530520411943413,1
122,0,0.0,5970,0.7542640555906507,7915,,0.012530520411943413,1
123,0,0.0,5920,0.7543323139653415,7848,,0.012530520411943413,1
124,0,0.0,5850,0.7543520309477756,7755,,0.012530520411943413,1
125,0,0.0,5880,0.7544264819091608,7794,,0.012530520411943413,1
126,0,0.0,5870,0.7542078889888217,7783,,0.012530520411943413,1
127,0,0.0,5870,0.7540141297366731,7785,,0.012530520411943413,1
128,0,0.0,5920,0.7541401273885351,7850,,0.012530520411943413,1
129,0,0.0,5210,0.7514784364632915,6933,,-0.06935229158998335,-1
130,0,0.0,5920,0.7543323139653415,7848,,0.012530520411943413,1
131,0,0.0,5950,0.7534506774724579,7897,,0.031886082816000194,1
132,0,0.0,5960,0.7542394330549228,7902,,0.012530520411943413,1
133,0,0.0,5960,0.7542394330549228,7902,,0.012530520411943413,1
134,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
135,0,0.0,5940,0.7543815087630176,7874,,0.012530520411943413,1
136,0,0.0,5470,0.7533397603635863,7261,,0.024238311760197362,1
