instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.05,anomaly_0.05,anomaly_score_0.1,anomaly_0.1,anomaly_score_0.15,anomaly_0.15,anomaly_score_0.2,anomaly_0.2,anomaly_score_0.25,anomaly_0.25,anomaly_score_0.3,anomaly_0.3,anomaly_score_0.35,anomaly_0.35,label,dominant_node
46,4,0.0005158627805003869,5764,0.7433582667010575,7754,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
47,1,0.00013533631073216944,5521,0.7471917715523075,7389,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
48,2,0.00025510204081632655,5872,0.7489795918367347,7840,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
49,1,0.000143000143000143,5171,0.7394537394537395,6993,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
50,1,0.0001301405517959396,5751,0.7484383133784487,7684,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
51,9,0.0011890606420927466,5689,0.7516184436517374,7569,3.0,0.025377485070561256,1,-0.020047345023121887,-1,-0.04684717813657391,-1,-0.06832558354138851,-1,-0.07861768211264586,-1,-0.07996073521705749,-1,-0.08338017441184697,-1,1,"""MCDData"".""Conveyor2_Speed"""
52,15,0.002005079534821548,5615,0.7505681058681994,7481,2.0,-0.004832759611919979,-1,-0.05025758970560312,-1,-0.07705742281905514,-1,-0.09853582822386975,-1,-0.1088279267951271,-1,-0.11017097989953872,-1,-0.11359041909432821,-1,1,"""MCDData"".""Gripper_Z_Speed"""
53,36,0.004890639858714849,5496,0.7466376850971336,7361,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
54,33,0.004327301337529505,5643,0.7399685287175453,7626,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Conveyor2_Speed"""
55,1,0.00018102824040550325,4091,0.7405865314989138,5524,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""RotatePosition"""
56,3,0.0003872966692486445,5773,0.7452878905241415,7746,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
57,5,0.0006417661404184315,5805,0.745090489025799,7791,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""GetBox_signal"""
58,6,0.0008156606851549756,5526,0.7512234910277324,7356,2.0,0.01863293037875846,1,-0.026791899714924683,-1,-0.053591732828376704,-1,-0.07507013823319131,-1,-0.08536223680444865,-1,-0.08670528990886028,-1,-0.09012472910364977,-1,1,"""MCDData"".""Conveyor3_Speed"""
59,20,0.0026852846401718583,5580,0.7491944146079484,7448,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Gripper_Z_Speed"""
60,0,0.0,5960,0.7496855345911949,7950,,-0.03502010082160967,-1,-0.08044493091529281,-1,-0.10724476402874483,-1,-0.12872316943355944,-1,-0.13901526800481678,-1,-0.1403583211092284,-1,-0.1437777603040179,-1,1,
